aha_mont64,175784,28924,110,100,1180,98776
crc32,175784,25740,200,200,1088,95620
depthconv,175784,24948,90,80,1088,94996
edn,175784,30820,150,140,1452,100506
huffbench,175784,30684,170,170,1200,100054
matmult_int,175784,28084,80,70,1452,98077
md5sum,175784,29052,90,80,1452,98550
nettle_aes,175784,39404,210,200,1168,109211
nettle_sha256,175784,34092,130,120,1452,103541
nsichneu,175784,40092,30,20,1088,110234
picojpeg,175784,46700,180,160,1452,113937
qrduino,175784,46412,100,100,1452,114621
sglib_combined,175784,34972,180,180,1452,103899
slre,175784,31860,170,150,1704,100822
statemate,175784,29700,110,100,1168,99249
tarfind,175784,26428,70,60,1168,96125
ud,175784,26300,120,110,1080,96203
wikisort,175784,126796,650,640,1504,194710
xgboost,175784,64412,130,120,1168,134444
