aha_mont64,385552,4772,2630,2630,1704,79508
crc32,385552,4564,6670,6670,1704,73788
edn,385552,7092,3630,3630,1704,83132
huffbench,385552,7812,3100,3100,1704,85016
matmult_int,385552,5116,2560,2560,1704,79748
md5sum,385552,6564,2130,2130,1704,82688
nettle_aes,385552,16484,3810,3810,1704,100317
nettle_sha256,385552,9636,2580,2580,1704,94089
nsichneu,385552,31932,4130,4130,1704,181388
picojpeg,385552,18612,4130,4130,1704,118548
qrduino,385552,19444,3660,3660,1704,109289
sglib_combined,385552,9556,3950,3950,1704,88524
slre,385552,7548,2720,2720,1704,88506
statemate,385552,11340,5860,5860,1704,87492
tarfind,385552,4364,1720,1720,1704,76132
ud,385552,4340,3200,3200,1704,76036
wikisort,385552,13556,3460,3460,1704,102264
depthconv,385552,4060,3870,3870,1704,73628
xgboost,385552,43468,3750,3750,1704,114088
